date,home_team,score,away_team
05-08-2022,Crystal Palace,0 - 2,Arsenal
13-08-2022,Arsenal,04-Feb,Leicester
20-08-2022,Bournemouth,0 - 3,Arsenal
27-08-2022,Arsenal,02-Jan,Fulham
31-08-2022,Arsenal,02-Jan,Aston Villa
04-09-2022,Man United,03-Jan,Arsenal
18-09-2022,Brentford,0 - 3,Arsenal
01-10-2022,Arsenal,03-Jan,Tottenham
09-10-2022,Arsenal,03-Feb,Liverpool
16-10-2022,Leeds,0 - 1,Arsenal
23-10-2022,Southampton,01-Jan,Arsenal
30-10-2022,Arsenal,5 - 0,Nott'm Forest
06-11-2022,Chelsea,0 - 1,Arsenal
12-11-2022,Wolves,0 - 2,Arsenal
26-12-2022,Arsenal,03-Jan,West Ham
31-12-2022,Brighton,02-Apr,Arsenal
03-01-2023,Arsenal,0 - 0,Newcastle
15-01-2023,Tottenham,0 - 2,Arsenal
22-01-2023,Arsenal,03-Feb,Man United
04-02-2023,Everton,1 - 0,Arsenal
11-02-2023,Arsenal,01-Jan,Brentford
15-02-2023,Arsenal,01-Mar,Man City
18-02-2023,Aston Villa,02-Apr,Arsenal
25-02-2023,Leicester,0 - 1,Arsenal
01-03-2023,Arsenal,4 - 0,Everton
04-03-2023,Arsenal,03-Feb,Bournemouth
12-03-2023,Fulham,0 - 3,Arsenal
19-03-2023,Arsenal,04-Jan,Crystal Palace
01-04-2023,Arsenal,04-Jan,Leeds
09-04-2023,Liverpool,02-Feb,Arsenal
16-04-2023,West Ham,02-Feb,Arsenal
21-04-2023,Arsenal,03-Mar,Southampton
26-04-2023,Man City,04-Jan,Arsenal
02-05-2023,Arsenal,03-Jan,Chelsea
07-05-2023,Newcastle,0 - 2,Arsenal
14-05-2023,Arsenal,0 - 3,Brighton
20-05-2023,Nott'm Forest,1 - 0,Arsenal
28-05-2023,Arsenal,5 - 0,Wolves
06-08-2022,Bournemouth,2 - 0,Aston Villa
13-08-2022,Aston Villa,02-Jan,Everton
20-08-2022,Crystal Palace,03-Jan,Aston Villa
28-08-2022,Aston Villa,0 - 1,West Ham
31-08-2022,Arsenal,02-Jan,Aston Villa
03-09-2022,Aston Villa,01-Jan,Man City
16-09-2022,Aston Villa,1 - 0,Southampton
02-10-2022,Leeds,0 - 0,Aston Villa
10-10-2022,Nott'm Forest,01-Jan,Aston Villa
16-10-2022,Aston Villa,0 - 2,Chelsea
20-10-2022,Fulham,3 - 0,Aston Villa
23-10-2022,Aston Villa,4 - 0,Brentford
29-10-2022,Newcastle,4 - 0,Aston Villa
06-11-2022,Aston Villa,03-Jan,Man United
13-11-2022,Brighton,01-Feb,Aston Villa
26-12-2022,Aston Villa,01-Mar,Liverpool
01-01-2023,Tottenham,0 - 2,Aston Villa
04-01-2023,Aston Villa,01-Jan,Wolves
13-01-2023,Aston Villa,02-Jan,Leeds
21-01-2023,Southampton,0 - 1,Aston Villa
04-02-2023,Aston Villa,02-Apr,Leicester
12-02-2023,Man City,03-Jan,Aston Villa
18-02-2023,Aston Villa,02-Apr,Arsenal
25-02-2023,Everton,0 - 2,Aston Villa
04-03-2023,Aston Villa,1 - 0,Crystal Palace
12-03-2023,West Ham,01-Jan,Aston Villa
18-03-2023,Aston Villa,3 - 0,Bournemouth
01-04-2023,Chelsea,0 - 2,Aston Villa
04-04-2023,Leicester,01-Feb,Aston Villa
08-04-2023,Aston Villa,2 - 0,Nott'm Forest
15-04-2023,Aston Villa,3 - 0,Newcastle
22-04-2023,Brentford,01-Jan,Aston Villa
25-04-2023,Aston Villa,1 - 0,Fulham
30-04-2023,Man United,1 - 0,Aston Villa
06-05-2023,Wolves,1 - 0,Aston Villa
13-05-2023,Aston Villa,02-Jan,Tottenham
20-05-2023,Liverpool,01-Jan,Aston Villa
28-05-2023,Aston Villa,02-Jan,Brighton
06-08-2022,Bournemouth,2 - 0,Aston Villa
13-08-2022,Man City,4 - 0,Bournemouth
20-08-2022,Bournemouth,0 - 3,Arsenal
27-08-2022,Liverpool,9 - 0,Bournemouth
31-08-2022,Bournemouth,0 - 0,Wolves
03-09-2022,Nott'm Forest,02-Mar,Bournemouth
17-09-2022,Newcastle,01-Jan,Bournemouth
01-10-2022,Bournemouth,0 - 0,Brentford
08-10-2022,Bournemouth,02-Jan,Leicester
15-10-2022,Fulham,02-Feb,Bournemouth
19-10-2022,Bournemouth,0 - 1,Southampton
24-10-2022,West Ham,2 - 0,Bournemouth
29-10-2022,Bournemouth,02-Mar,Tottenham
05-11-2022,Leeds,04-Mar,Bournemouth
12-11-2022,Bournemouth,3 - 0,Everton
27-12-2022,Chelsea,2 - 0,Bournemouth
31-12-2022,Bournemouth,0 - 2,Crystal Palace
03-01-2023,Man United,3 - 0,Bournemouth
14-01-2023,Brentford,2 - 0,Bournemouth
21-01-2023,Bournemouth,01-Jan,Nott'm Forest
04-02-2023,Brighton,1 - 0,Bournemouth
11-02-2023,Bournemouth,01-Jan,Newcastle
18-02-2023,Wolves,0 - 1,Bournemouth
25-02-2023,Bournemouth,01-Apr,Man City
04-03-2023,Arsenal,03-Feb,Bournemouth
11-03-2023,Bournemouth,1 - 0,Liverpool
